bake temp,chill time,calories,density,quality,weight,nuts,butter type_melted
800,22.0,39.0,0.9970100000000001,5,13.6,1,0
390,31.0,119.0,0.99815,8,15.2,0,1
390,8.0,143.0,0.9942,7,15.8,0,1
450,11.0,119.0,0.99556,6,17.2,0,1
650,9.0,18.0,0.9972,5,13.0,1,0
650,3.0,16.0,0.9962,7,16.0,1,0
1190,56.0,178.0,0.9957799999999999,8,14.3,0,1
470,20.0,77.0,0.9900100000000001,7,10.4,0,1
490,12.0,117.0,0.99134,7,11.8,1,1
320,17.0,50.0,0.9932,8,12.0,0,1
530,29.0,106.0,0.9945799999999999,7,11.6,0,1
320,42.0,164.0,0.9974200000000001,8,15.4,1,1
350,26.0,102.0,0.992,8,10.6,0,1
730,5.0,27.0,1.0001,5,21.6,1,0
460,0.0,194.0,0.9955799999999999,7,13.2,0,1
470,26.0,101.0,0.9959600000000001,8,12.8,0,1
320,60.0,181.0,0.9983,9,14.0,0,1
1020,17.0,36.0,0.9944,6,15.6,1,0
290,41.0,131.0,0.99326,8,13.8,0,1
920,13.0,52.0,0.99834,7,20.2,1,0
350,26.0,143.0,0.9965,8,15.2,0,1
560,35.0,167.0,0.9962799999999999,7,13.4,0,1
290,34.0,131.0,0.9953,9,13.4,0,1
450,41.0,169.0,0.9959,7,16.0,0,1
340,38.0,152.0,0.9977,7,11.8,0,1
2040,15.0,97.0,0.9931,8,12.6,0,1
510,56.0,197.0,1.0004,7,13.0,0,1
570,45.0,155.0,0.9980700000000001,10,14.6,0,1
470,66.0,178.0,0.9976,7,14.4,0,1
210,20.0,80.0,0.9907600000000001,7,12.3,0,1
440,29.0,128.0,0.9937,10,14.2,0,1
450,49.0,154.0,0.992,8,14.8,0,1
980,12.0,42.0,1.0004,5,23.8,0,0
440,79.5,182.0,0.9974200000000001,8,13.6,0,1
360,35.0,91.0,0.9919,8,13.4,0,1
480,21.0,98.0,0.9929,7,11.6,0,1
480,17.0,204.0,0.9934,7,13.2,0,1
380,33.0,170.0,0.9946299999999999,8,14.2,0,1
360,43.0,131.0,0.9918600000000001,8,12.6,1,1
310,33.0,97.0,0.99126,8,11.2,0,1
450,98.0,175.0,0.99364,8,13.0,0,1
500,11.5,88.0,0.9946,6,16.0,0,1
430,28.0,93.0,0.9897,8,11.4,0,1
300,9.0,131.0,0.9904,7,12.8,1,1
350,24.0,100.0,0.9906200000000001,9,14.2,1,1
470,42.0,130.0,0.9928299999999999,8,13.6,0,1
380,52.0,155.0,0.995,8,12.6,0,1
480,4.0,119.0,0.9908399999999999,8,15.4,0,1
840,4.0,18.0,0.99682,6,16.8,1,0
520,41.0,150.0,0.99534,7,14.8,0,1
410,71.0,223.0,0.9959,7,13.6,0,1
350,29.0,142.0,0.9942,9,12.6,0,1
340,34.0,132.0,0.9944,9,14.0,0,1
540,11.0,107.0,0.99398,7,13.0,0,1
490,24.0,97.0,0.993,7,16.0,0,1
360,41.0,150.0,0.9916799999999999,8,14.0,0,1
340,8.0,84.0,0.9942,7,14.6,0,1
510,29.0,149.0,0.99792,9,14.0,0,1
440,15.0,68.0,0.9932,8,13.6,0,1
480,27.0,133.0,0.9946,8,15.8,0,1
210,52.0,148.0,0.9903799999999999,7,16.8,0,1
430,45.0,155.0,0.9923799999999999,7,12.6,0,1
350,42.0,126.0,0.9904799999999999,9,13.6,0,1
360,38.0,124.0,0.9898,9,12.2,0,1
770,28.0,54.0,0.9956,6,14.2,1,0
470,61.0,189.0,0.9960399999999999,7,13.2,0,1
730,12.0,22.0,0.9969,5,14.2,1,0
650,29.0,119.0,0.9974,7,15.0,0,1
320,30.0,114.0,0.9915799999999999,9,14.0,0,1
740,16.0,65.0,0.9984200000000001,6,13.8,0,0
300,28.0,117.0,0.9918,8,11.2,0,1
350,33.0,115.0,0.9901,9,13.4,1,1
490,38.0,209.0,0.9981,8,12.6,1,1
380,10.0,164.0,0.9912,8,13.6,0,1
580,14.0,146.0,0.9952,8,13.8,0,1
290,29.0,75.0,0.9892,10,12.4,1,1
360,38.0,155.0,0.9962200000000001,7,12.4,0,1
380,40.0,118.0,0.99074,9,12.8,0,1
1190,33.0,104.0,0.9921,8,12.0,0,1
460,13.0,119.0,1.0004,7,19.6,0,1
460,29.0,130.0,0.9942,8,17.4,0,1
450,68.0,183.0,0.9992200000000001,7,14.4,0,1
760,47.0,130.0,0.99185,8,11.6,0,1
460,6.0,194.0,0.9971399999999999,7,15.2,1,1
620,26.0,87.0,0.98974,8,16.4,0,1
390,46.0,165.0,0.9982,7,14.6,0,1
440,20.0,90.0,0.9959,9,14.2,0,1
860,15.0,48.0,0.9950200000000001,5,14.8,1,0
450,29.0,100.0,0.99135,9,15.0,0,1
850,12.0,69.0,0.9963299999999999,6,14.0,1,0
430,16.0,104.0,0.99216,7,14.0,0,1
410,49.0,115.0,0.9926799999999999,8,13.0,0,1
480,24.0,113.0,0.9982,8,13.0,1,1
390,21.0,120.0,0.9918799999999999,8,19.2,1,1
410,20.0,119.0,0.9929600000000001,8,13.8,0,1
570,47.0,223.0,0.99654,7,12.8,0,1
390,21.0,158.0,0.9983,8,17.2,0,1
290,35.0,138.0,0.9911399999999999,9,13.0,0,1
160,6.0,55.0,0.9887600000000001,7,13.8,0,1
450,75.0,162.0,0.99482,7,13.0,0,1
870,21.0,68.0,0.9955,5,15.2,1,0
620,19.0,171.0,0.99808,9,13.6,0,1
330,35.0,165.0,0.9974,7,13.0,0,1
740,12.0,96.0,0.9954,5,11.2,0,0
470,54.0,171.0,0.9987,7,15.8,0,1
740,9.0,46.0,0.9962,6,14.6,0,0
610,23.0,150.0,0.9954,8,13.2,0,1
260,31.0,68.0,0.9898,8,11.0,0,1
440,48.0,118.0,0.99726,9,14.2,0,1
390,25.0,78.0,0.9926,9,13.2,0,1
460,6.0,114.0,0.9955,6,13.0,0,1
480,36.0,110.0,0.9943799999999999,8,10.8,0,1
400,13.0,60.0,0.9956,6,16.0,1,1
510,14.0,92.0,0.99224,8,13.4,0,1
830,27.0,182.0,0.9964,7,14.4,1,1
330,20.0,72.0,0.9922,9,15.8,0,1
410,35.0,125.0,0.9925,9,17.2,0,1
970,14.0,38.0,0.99675,6,14.4,1,0
420,21.0,177.0,0.99166,7,14.0,0,1
420,0.0,138.0,0.99382,7,11.6,0,1
370,47.0,156.0,0.9981,7,14.4,0,1
390,54.0,141.0,0.9956,8,14.0,0,1
340,33.0,104.0,0.9953,9,14.2,0,1
960,22.0,177.0,0.9983,6,15.2,1,1
430,19.0,113.0,0.9933799999999999,8,14.6,0,1
480,10.0,67.0,0.992,7,12.8,1,1
740,13.0,25.0,0.9950899999999999,7,19.2,0,0
470,54.0,201.0,0.99523,8,12.4,0,1
520,24.0,113.0,0.9957600000000001,7,13.4,1,1
450,20.0,73.0,0.9925,9,14.4,0,1
490,38.0,157.0,0.9963,8,14.8,0,1
790,12.0,49.0,0.9968,5,15.2,1,0
380,29.0,130.0,0.9949600000000001,9,13.2,0,1
490,18.0,134.0,0.9937799999999999,7,11.2,0,1
330,38.0,94.0,0.99075,9,14.4,0,1
760,34.0,85.0,0.9966799999999999,5,16.0,0,0
440,33.0,147.0,0.9944,7,10.4,1,1
390,31.0,128.0,0.9929600000000001,8,12.6,0,1
470,13.0,134.0,0.99616,7,16.0,0,1
570,19.0,37.0,0.99498,7,18.6,0,0
400,24.0,81.0,0.9903,9,12.8,0,1
570,17.0,103.0,0.9957,7,14.0,0,1
390,6.0,62.0,0.9934,7,13.4,1,1
460,57.0,166.0,0.9943,8,14.4,0,1
320,30.0,142.0,0.9954200000000001,8,11.8,0,1
470,40.0,122.0,0.99126,9,13.6,0,1
540,25.0,117.0,0.9943,7,12.8,0,1
330,48.0,185.0,0.99472,8,14.6,0,1
380,59.0,186.0,0.9969,8,15.4,0,1
470,52.0,177.0,0.9962,8,14.8,0,1
290,21.0,162.0,0.99497,8,18.0,0,1
1040,28.0,90.0,0.99784,5,15.2,1,0
770,7.0,28.0,0.9956799999999999,5,14.4,1,0
440,27.0,149.0,0.998,8,14.0,0,1
270,38.0,112.0,0.9908600000000001,8,13.8,0,1
410,40.0,141.0,0.9941,8,13.0,0,1
480,32.0,111.0,0.99455,9,13.4,0,1
120,36.0,100.0,0.99064,9,13.4,0,1
180,15.0,37.0,0.9900399999999999,9,14.2,0,1
930,15.0,47.0,0.9996,5,26.0,0,0
580,53.0,150.0,0.9936,9,14.8,0,1
380,37.0,97.0,0.99026,10,13.0,0,1
350,29.0,142.0,0.9942,9,12.6,0,1
480,50.0,228.0,1.0001,8,16.6,0,1
520,34.0,134.0,0.9924,8,12.6,0,1
410,82.0,187.0,0.9932,9,14.4,0,1
580,5.0,10.0,0.9977,6,18.2,1,0
310,48.0,134.0,0.9917,8,12.6,0,1
370,21.0,74.0,0.9918,7,14.4,0,1
580,44.0,166.0,0.9961,7,12.6,0,1
630,9.0,28.0,0.9981,6,19.6,1,0
330,28.0,124.0,0.99684,7,12.2,0,1
860,5.0,12.0,0.9958,4,15.0,0,0
360,40.0,117.0,0.9934,9,13.8,0,1
600,4.0,11.0,0.99592,4,13.6,0,0
550,45.0,151.0,0.99626,7,14.4,1,1
360,27.0,98.0,0.99521,8,12.2,0,1
390,15.0,68.0,0.9916299999999999,8,13.2,0,1
940,38.0,106.0,0.9982,5,18.2,1,0
620,8.0,22.0,0.9974,6,16.4,0,0
950,5.0,14.0,0.99854,5,16.2,0,0
390,32.0,120.0,0.9962,8,13.0,0,1
450,50.0,208.0,1.00051,8,16.0,0,1
790,5.0,10.0,0.9967,5,15.2,0,0
540,40.0,158.0,0.9937799999999999,7,12.6,0,1
840,59.0,222.0,0.9993,7,13.0,1,1
740,25.0,168.0,0.9937,7,15.2,1,1
340,50.0,199.0,0.9939399999999999,8,12.6,0,1
360,22.0,91.0,0.9927799999999999,8,10.6,0,1
430,46.0,238.0,0.9986,8,14.6,0,1
830,50.0,171.0,0.9965,7,13.0,0,1
290,21.0,63.0,0.9907600000000001,8,14.4,0,1
660,36.0,161.0,0.9991,7,12.6,0,1
1750,47.0,159.0,0.9952,8,12.0,0,1
390,30.0,104.0,0.98998,8,12.0,0,1
920,14.0,44.0,0.998,6,19.0,1,0
710,16.0,24.0,0.9937600000000001,6,11.8,1,0
730,56.0,173.0,0.9984,8,13.6,0,1
440,17.0,63.0,0.9937,7,14.0,0,1
310,24.0,116.0,0.99241,8,10.0,0,1
190,4.0,28.0,0.98931,8,14.2,0,1
500,29.0,124.0,0.9968,7,15.0,0,1
970,33.0,85.0,0.9962,6,14.0,0,0
280,22.0,97.0,0.9931399999999999,8,13.6,0,1
880,27.0,94.0,0.99915,5,15.0,1,0
330,27.0,135.0,0.9906,8,13.6,1,1
510,29.0,149.0,0.99792,9,14.0,0,1
400,54.0,159.0,0.9962200000000001,8,13.2,1,1
390,49.0,130.0,0.9952,10,12.4,0,1
500,17.0,114.0,0.9948,9,15.8,0,1
1060,8.0,32.0,0.9986,5,21.4,1,0
380,85.0,153.0,0.9909,9,12.4,0,1
640,12.0,27.0,0.9929,6,13.0,1,0
270,14.0,79.0,0.9906299999999999,8,13.2,0,1
500,25.0,135.0,0.9984,9,14.8,0,1
540,6.0,17.0,0.9976,5,20.4,1,0
710,16.0,24.0,0.9937600000000001,6,11.8,1,0
360,7.0,89.0,0.99111,7,11.4,0,1
390,24.0,147.0,0.9935,7,17.0,0,1
500,41.0,178.0,0.9988,7,14.6,0,1
400,31.0,111.0,0.99174,7,14.2,0,1
420,19.0,120.0,0.9895200000000001,9,12.0,0,1
940,10.0,45.0,0.99864,7,19.6,1,0
530,47.0,150.0,0.9948,8,15.8,0,1
410,95.0,163.0,0.9918399999999999,8,15.0,0,1
340,25.0,133.0,0.9906,9,12.2,0,1
1040,12.0,47.0,0.9964,5,15.6,1,0
270,36.0,121.0,0.992,8,16.4,0,1
340,49.0,121.0,0.98882,9,13.8,0,1
580,25.0,133.0,0.99271,6,13.6,1,1
300,31.0,103.0,0.98892,8,11.2,0,1
500,38.0,174.0,0.9983,8,14.6,0,1
430,45.0,114.0,0.992,8,13.0,0,1
280,32.0,138.0,0.9914,7,12.2,0,1
540,6.0,97.0,0.99424,7,12.4,0,1
840,18.0,49.0,0.9994,6,16.2,1,0
310,41.0,167.0,0.9948,9,15.4,1,1
560,49.0,159.0,0.9944,10,13.8,0,1
510,61.0,197.0,0.9932,7,12.0,1,1
350,39.0,84.0,0.9909600000000001,9,13.2,1,1
950,10.0,23.0,1.00315,5,31.2,1,0
510,18.0,87.0,0.9928,7,12.2,0,1
550,17.0,135.0,0.9925,8,12.8,0,1
970,14.0,38.0,0.99675,6,14.4,1,0
480,26.0,60.0,0.9908399999999999,6,10.0,0,0
360,23.0,92.0,0.99136,8,13.0,0,1
330,28.0,124.0,0.9904,9,12.8,1,1
380,30.0,133.0,0.9954,7,13.0,0,1
370,12.0,119.0,0.9919,9,12.8,0,1
730,9.0,18.0,0.9968,7,15.6,1,0
560,15.0,29.0,0.99472,8,14.4,0,0
530,44.0,95.0,0.9967600000000001,8,13.4,0,1
520,45.0,128.0,0.9938799999999999,8,13.2,0,1
150,47.0,124.0,0.9927799999999999,8,15.6,0,1
430,18.0,104.0,0.9952,6,14.6,1,1
740,4.0,25.0,0.99534,5,13.6,0,0
660,29.0,56.0,0.99577,7,21.4,1,0
700,5.0,16.0,0.9972,8,21.4,0,0
420,35.0,101.0,0.99044,9,11.6,0,1
560,39.0,113.0,0.99393,9,15.0,0,1
650,5.0,10.0,0.99419,7,15.8,0,0
530,20.0,103.0,0.9925,8,10.4,0,1
920,10.0,41.0,0.9974,6,15.6,1,0
870,27.0,177.0,0.9943799999999999,7,15.2,0,1
1660,4.0,11.0,0.99608,5,14.4,0,0
800,26.0,86.0,0.9987,6,18.0,1,0
260,26.0,189.0,0.991,9,15.6,0,1
420,44.0,189.0,0.9930399999999999,8,12.6,0,1
440,45.0,163.0,1.0003,9,16.0,0,1
550,74.0,134.0,0.99534,8,12.2,0,1
360,42.0,107.0,0.991,9,12.2,0,1
820,6.0,15.0,0.9988,6,22.6,0,0
360,69.0,168.0,0.9921200000000001,7,9.8,0,1
480,10.0,147.0,0.9974,8,13.8,1,1
1000,18.0,95.0,0.9966,5,15.6,1,0
420,18.0,167.0,0.99366,7,16.4,1,1
800,31.0,131.0,0.9962200000000001,5,15.6,1,0
2170,14.0,74.0,0.9936,7,13.0,0,1
400,25.0,184.0,0.99216,7,13.0,0,1
480,38.0,168.0,0.9945,8,14.0,0,1
300,15.0,118.0,0.9954,7,16.4,1,1
860,23.0,81.0,1.0002,6,17.4,1,0
310,53.0,140.0,0.99321,8,10.6,0,1
540,7.0,15.0,0.9945799999999999,7,15.8,0,0
280,34.0,95.0,0.99272,6,17.0,0,1
520,22.0,126.0,0.9988799999999999,8,13.0,0,1
670,12.0,27.0,0.9981,6,23.0,0,0
290,14.0,111.0,0.9958,7,18.8,0,1
560,12.0,105.0,0.9972,7,14.2,0,1
700,45.0,185.0,0.9966,7,14.0,0,1
370,37.0,161.0,0.9954,8,12.8,0,1
510,31.0,95.0,0.99036,8,12.4,0,1
420,34.0,130.0,0.9925,10,14.0,0,1
260,21.0,77.0,0.9907,8,11.4,0,1
730,11.0,54.0,0.9990000000000001,5,16.8,0,0
830,35.0,72.0,0.997,5,14.4,1,0
450,22.0,61.0,0.992,7,12.2,0,1
700,5.0,20.0,0.9966,5,18.6,1,0
410,26.0,124.0,0.9942799999999999,8,13.8,0,1
310,38.0,95.0,0.99239,7,17.2,0,1
1020,11.0,32.0,0.9960399999999999,5,15.4,0,0
530,51.0,202.0,0.9955,8,12.6,0,1
510,30.0,173.0,0.9984,7,15.8,1,1
180,41.0,103.0,0.9912200000000001,8,13.0,0,1
420,31.0,104.0,0.9911,9,14.6,0,1
360,37.0,127.0,0.9937299999999999,8,12.0,0,1
390,47.0,142.0,0.99705,8,12.6,0,1
350,13.0,102.0,0.9918,7,15.0,0,1
840,23.0,43.0,0.9986,7,26.6,0,0
570,33.0,135.0,0.993,8,14.8,0,1
160,31.0,101.0,0.9918600000000001,8,15.6,0,1
380,13.0,95.0,0.98898,8,12.2,0,1
390,46.0,165.0,0.9982,7,14.6,0,1
780,15.0,60.0,0.9963799999999999,5,14.6,1,0
410,30.0,95.0,0.9907799999999999,8,12.0,0,1
380,28.0,137.0,0.9952,8,13.2,0,1
480,54.0,136.0,0.99556,8,13.6,0,1
540,28.0,174.0,0.99898,7,15.0,1,1
750,6.0,21.0,0.9976,7,20.8,0,0
510,40.0,167.0,0.99756,7,14.4,0,1
520,51.0,188.0,0.99944,7,15.0,0,1
800,29.0,58.0,0.9974,5,15.6,1,0
470,41.0,151.0,0.9960399999999999,7,12.8,0,1
460,14.0,114.0,0.9925,8,14.2,0,1
470,54.0,191.0,0.9954,8,13.4,0,1
520,47.0,197.0,0.99865,7,14.4,0,1
380,18.0,97.0,0.99477,7,11.2,0,1
970,15.0,65.0,0.9959,5,13.4,1,0
490,41.5,195.0,1.0,9,14.6,0,1
250,37.0,107.0,0.99159,9,13.4,0,1
840,26.0,45.0,0.99824,6,13.6,1,0
460,25.0,80.0,0.992,8,14.4,0,1
420,47.0,121.0,0.99198,9,14.8,0,1
550,7.0,13.0,0.99639,5,15.4,1,0
420,56.0,187.0,0.99577,7,13.2,0,1
530,26.0,112.0,0.99336,7,13.2,0,1
800,8.0,33.0,0.99845,5,13.8,1,0
2260,5.0,15.0,0.9991,6,17.4,1,0
880,15.0,33.0,0.9982,6,19.6,0,0
690,9.0,17.0,0.9937600000000001,6,16.4,0,0
350,18.0,156.0,0.99666,8,13.4,0,1
750,13.0,81.0,0.9968799999999999,6,16.0,1,0
380,37.0,97.0,0.99026,10,13.0,0,1
370,20.0,98.0,0.9916,9,12.8,0,1
810,5.0,16.0,1.0006,5,26.4,0,0
770,11.0,35.0,0.9955700000000001,6,15.0,1,0
390,29.0,115.0,0.99469,9,13.4,0,1
360,31.0,134.0,0.99408,9,12.0,0,1
720,48.0,159.0,0.9949,8,16.2,0,1
320,31.0,87.0,0.9922,8,13.0,1,1
410,46.0,141.0,0.99119,7,10.6,0,1
570,31.0,98.0,0.9943,8,16.6,0,1
450,41.0,128.0,0.99636,8,13.0,0,1
660,41.0,187.0,0.9936200000000001,7,10.4,0,1
340,24.0,110.0,0.9898,8,12.2,0,1
480,40.0,150.0,0.98944,8,10.2,0,1
570,21.0,82.0,0.99425,8,12.8,0,1
310,49.0,159.0,0.9919,8,12.0,0,1
560,3.0,7.0,0.9928600000000001,5,16.0,1,0
650,24.0,33.0,0.9954,5,17.4,0,0
370,27.0,104.0,0.9924,8,14.4,0,1
760,30.0,47.0,0.99554,6,13.0,1,0
450,31.0,101.0,0.9931,7,14.8,0,1
330,16.0,91.0,0.9906,8,12.6,0,1
1420,52.0,148.0,0.9937,8,13.6,0,1
620,19.0,171.0,0.99808,9,13.6,0,1
460,28.0,208.0,0.99434,7,15.6,0,1
1030,13.0,50.0,0.9957,5,10.4,0,0
330,25.0,97.0,0.99356,9,12.0,0,1
360,58.0,201.0,0.99954,7,14.2,0,1
310,24.0,104.0,0.9896,8,10.4,0,1
360,24.0,119.0,0.9939600000000001,8,16.2,0,1
520,34.0,134.0,0.9924,8,12.6,0,1
250,35.0,124.0,0.9916200000000001,9,14.0,0,1
400,26.0,117.0,0.993,7,15.4,0,1
390,47.0,129.0,0.9967799999999999,9,13.0,0,1
600,3.0,10.0,0.99572,7,22.2,0,0
470,49.0,162.0,0.9983,8,13.6,0,1
600,50.0,156.0,0.99784,8,13.4,0,1
560,21.0,153.0,0.993,8,15.6,0,1
450,26.0,159.0,0.99126,8,15.4,0,1
370,47.0,156.0,0.9981,7,14.4,0,1
840,12.0,31.0,0.9979,5,17.2,0,0
810,15.0,105.0,0.9962,5,15.6,1,0
640,29.0,120.0,0.9934,7,12.4,0,1
590,32.0,178.0,0.9955,8,15.6,1,1
370,36.0,156.0,0.99592,8,16.2,0,1
480,33.0,142.0,0.98956,9,12.6,0,1
460,29.0,227.0,0.9952,8,12.6,0,1
450,37.0,221.0,0.9954,8,14.0,0,1
860,8.0,19.0,0.99546,6,15.8,0,0
420,3.0,11.0,0.9944,6,11.8,1,0
400,26.0,84.0,0.9922200000000001,8,14.6,0,1
960,20.0,38.0,0.9978,5,15.8,1,0
1230,27.0,104.0,0.9954,8,14.0,0,1
470,48.0,148.0,0.9916799999999999,7,10.2,0,1
340,25.0,122.0,0.9908799999999999,8,15.8,0,1
820,3.0,12.0,0.9964,5,16.2,0,0
470,47.0,162.0,0.9954,9,13.8,0,1
730,7.0,23.0,0.99974,6,23.4,1,0
560,44.0,169.0,0.998,8,13.8,0,1
500,18.0,102.0,0.9930399999999999,6,14.6,0,1
460,68.0,170.0,0.9949399999999999,8,13.2,0,1
330,31.0,177.0,0.99479,8,13.2,0,1
380,52.0,155.0,0.995,8,12.6,0,1
810,16.0,29.0,0.9958799999999999,6,16.0,0,0
620,19.0,171.0,0.99808,9,13.6,0,1
430,50.0,92.0,0.9900399999999999,8,12.4,0,1
940,24.0,60.0,0.9979,6,16.6,1,0
770,16.0,86.0,0.9974799999999999,5,14.4,1,0
350,17.0,80.0,0.9905799999999999,9,13.8,1,1
410,17.0,78.0,0.99346,5,11.2,0,0
430,14.0,103.0,0.9987,8,14.4,0,1
890,12.0,32.0,0.99735,5,16.0,1,0
400,51.0,148.0,0.9916,9,15.0,0,1
820,18.0,82.0,0.99708,6,14.8,0,0
260,35.0,128.0,0.9918299999999999,8,13.2,0,1
780,7.0,12.0,0.99587,5,14.4,1,0
740,24.0,44.0,0.99534,7,14.4,0,0
460,18.0,80.0,0.9904299999999999,8,12.6,0,1
830,35.0,72.0,0.997,5,14.4,1,0
570,54.0,166.0,0.9956799999999999,7,13.8,0,1
1040,10.0,22.0,0.99828,5,16.4,0,0
390,10.0,124.0,0.9948,7,13.6,0,1
410,40.0,186.0,0.99235,8,12.0,0,1
510,41.0,107.0,0.99382,9,14.6,0,1
570,59.0,235.0,1.0024,7,13.8,0,1
360,19.0,74.0,0.9885299999999999,9,11.6,0,1
460,32.0,133.0,1.0,7,13.6,0,1
470,60.5,156.0,0.9984,8,14.6,0,1
280,42.0,162.0,0.9903,8,15.2,0,1
290,20.0,125.0,0.996,8,15.0,1,1
300,35.0,105.0,0.9912,9,12.4,0,1
560,20.0,124.0,0.9948,8,15.4,0,1
490,25.0,153.0,0.99067,9,11.6,0,1
400,43.0,148.0,0.9912,10,13.0,0,1
580,26.0,172.0,0.99755,8,14.2,0,1
990,9.0,22.0,0.9960600000000001,5,14.0,1,0
360,35.0,132.0,0.9928,8,14.4,0,1
500,51.0,189.0,0.99174,8,14.0,1,1
340,18.0,122.0,0.9916,8,12.8,0,1
440,45.0,104.0,0.99454,8,13.6,0,1
470,15.0,60.0,0.9955,5,15.4,0,0
420,61.0,148.0,0.99839,8,15.2,0,1
400,34.0,125.0,0.9914,8,14.0,0,1
640,9.0,42.0,0.9963,5,17.4,1,0
390,29.0,113.0,0.99406,9,13.6,0,1
300,30.0,107.0,0.992,8,14.8,0,1
310,37.0,97.0,0.9922,8,12.2,0,1
250,43.0,117.0,0.9928,8,12.0,0,1
580,39.0,133.0,0.996,7,18.4,0,1
920,30.0,123.0,0.9951,8,13.6,0,1
740,24.0,120.0,0.9968,5,15.6,1,0
540,5.0,27.0,0.9934,7,10.6,1,0
850,17.0,110.0,0.9982,5,17.6,1,0
420,34.0,116.0,0.9912299999999999,10,13.4,0,1
470,61.0,189.0,0.9960399999999999,7,13.2,0,1
370,33.0,156.0,0.992,8,28.4,0,1
1190,56.0,178.0,0.9957799999999999,8,14.3,0,1
520,15.0,104.0,0.9948,7,12.2,0,1
800,12.0,32.0,0.9968899999999999,5,12.8,1,0
370,25.0,95.0,0.9926799999999999,8,11.2,0,1
820,23.0,143.0,0.9978,5,18.8,1,0
570,17.0,141.0,0.9917,7,11.8,0,1
840,7.0,17.0,0.9984,6,21.6,1,0
440,15.0,144.0,0.99666,8,12.0,0,1
910,6.0,18.0,1.0004,5,24.6,0,0
290,18.0,79.0,0.9923,8,16.2,0,1
800,29.0,55.0,1.0001,5,23.0,1,0
460,11.0,207.0,0.993,7,16.6,1,1
340,37.0,104.0,0.98865,8,12.0,0,1
390,38.0,153.0,0.9994,8,13.6,0,1
840,25.0,48.0,0.9981,5,18.8,1,0
520,40.0,183.0,0.998,8,13.2,0,1
270,18.0,89.0,0.9893,9,10.2,0,1
370,34.0,101.0,0.992,9,16.0,1,1
530,36.0,175.0,0.992,8,15.6,0,1
420,41.0,146.0,1.0001,7,13.6,0,1
340,48.0,160.0,0.9952,9,10.6,0,1
570,36.0,221.0,0.9964200000000001,7,12.8,0,1
650,23.0,140.0,0.99134,8,14.8,0,1
750,19.0,71.0,0.99103,8,14.0,0,1
500,20.0,78.0,0.9918,8,11.8,0,1
780,17.0,38.0,0.9963,7,15.8,1,0
370,5.0,33.0,0.9939,5,20.6,0,1
440,78.0,240.0,0.99655,8,12.4,0,1
430,49.0,228.0,0.9974,8,18.4,0,1
450,21.0,98.0,0.9924,9,14.6,0,1
450,10.0,122.0,0.99261,8,12.0,0,1
840,33.0,139.0,1.0011,7,15.0,0,1
510,46.0,142.0,0.9928,8,12.6,0,1
410,7.0,106.0,0.9914,6,15.2,0,1
450,96.0,170.0,0.99035,10,11.6,0,1
360,46.0,195.0,0.993,7,15.6,0,1
950,28.0,195.0,0.9977299999999999,6,12.4,0,1
930,11.0,44.0,0.9988799999999999,6,18.2,1,0
880,16.0,43.0,0.998,5,15.2,1,0
580,22.0,47.0,0.99525,6,15.6,0,0
380,40.0,76.0,0.98711,9,11.6,0,1
